date,category,Exports_US$,volume,unit_price
3/1/2022,Cotton Crd/Cmd,21000,25,0.84
3/1/2022,Non-Cotton Yarn,6343000,1867,3.40
3/1/2022,Knitwear,425066000,12159000,34.96
3/1/2022,Bedwear,260937000,37023,7.05
3/1/2022,Towels,102901000,18493,5.56
3/1/2022,"Tents, Tarpaulines",10137000,2616,3.88
3/1/2022,Garments,344824000,5867000,58.77
3/1/2022,Artificial Silk & Synthetics,37512000,7371,5.09
3/1/2022,Madeups,70531000,,
3/1/2022,Other Textiles,64515000,,
4/1/2022,Raw Cotton,0,0,
4/1/2022,Cotton Yarn,97655000,24386,4.00
4/1/2022,Cotton Cloth,210120000,32892,6.39
4/1/2022,Cotton Crd/Cmd,0,0,
4/1/2022,Non-Cotton Yarn,5828000,1471,3.96
4/1/2022,Knitwear,488377000,15552000,31.40
4/1/2022,Bedwear,278606000,39628,7.03
4/1/2022,Towels,108270000,19991,5.42
4/1/2022,"Tents, Tarpaulines",9163000,2261,4.05
4/1/2022,Garments,350545000,6321000,55.46
4/1/2022,Artificial Silk & Synthetics,41700000,8021,5.20
4/1/2022,Madeups,82810000,,
4/1/2022,Other Textiles,66177000,,
